Safe,IP,Times,Request_method,Request_resource,Request_protocol,Status,Bytes,URL,Label
0,125.88.223.58,28/Apr/2018:00:07:42,GET,/,HTTP/1.1,302,-,-,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322) 360JK yunjiankong 1479725
0,125.88.223.58,28/Apr/2018:00:07:42,GET,/index.do,HTTP/1.1,200,26224,-,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322) 360JK yunjiankong 1479725
0,182.119.194.45,28/Apr/2018:00:44:35,GET,/,HTTP/1.1,302,-,-,python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.11.1.el7.x86_64
0,180.213.107.110,28/Apr/2018:00:44:35,GET,/,HTTP/1.1,302,-,-,python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.11.1.el7.x86_64
0,182.119.192.73,28/Apr/2018:00:44:35,GET,/,HTTP/1.1,302,-,-,python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.11.1.el7.x86_64
0,218.24.109.68,28/Apr/2018:00:44:35,GET,/,HTTP/1.1,302,-,-,python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.11.1.el7.x86_64
0,180.212.214.11,28/Apr/2018:00:44:35,GET,/,HTTP/1.1,302,-,-,python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.11.1.el7.x86_64
0,113.4.75.41,28/Apr/2018:00:44:36,GET,/,HTTP/1.1,302,-,-,python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.11.1.el7.x86_64
0,123.160.175.137,28/Apr/2018:00:44:36,GET,/,HTTP/1.1,302,-,-,python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.11.1.el7.x86_64
0,123.245.94.53,28/Apr/2018:00:44:36,GET,/,HTTP/1.1,302,-,-,python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.11.1.el7.x86_64
0,14.204.121.44,28/Apr/2018:00:44:36,GET,/,HTTP/1.1,302,-,-,python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.11.1.el7.x86_64
0,124.235.138.48,28/Apr/2018:00:44:36,CONNECT,www.voanews.com:443,HTTP/1.0,400,-,-,-
0,114.221.126.166,28/Apr/2018:00:44:36,GET,/,HTTP/1.1,302,-,-,python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.11.1.el7.x86_64
0,125.84.176.118,28/Apr/2018:00:44:36,GET,/,HTTP/1.1,302,-,-,python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-693.11.1.el7.x86_64
